Date,Mode,Score,Time_Seconds,Moves,Max_Tile
2025-07-02 12:55:19,Human,16,98.9,6,4
2025-07-02 12:58:43,Human,6,68.0,1,2
2025-07-02 12:58:43,Human,6,68.0,1,2
2025-07-02 13:15:46,Human,6,239.1,1,2
2025-07-02 13:22:46,Human,126,25.4,61,32
2025-07-02 13:22:56,Human,126,35.3,61,32
2025-07-02 13:23:15,Human,150,18.6,73,32
2025-07-02 13:26:59,Human,150,242.6,73,32
2025-07-02 13:28:55,Human,540,74.4,268,128
2025-07-02 13:29:39,Human,540,118.3,268,128
2025-07-02 13:31:18,Human,724,98.2,360,256
2025-07-02 17:13:47,Human,724,13447.2,360,256
2025-07-02 17:14:22,Human,256,35.4,126,64
2025-07-02 17:14:41,Human,256,54.4,126,64
2025-07-02 17:15:50,Human,474,68.8,235,128
2025-07-02 17:17:19,Human,474,157.8,235,128
2025-07-02 17:19:25,Human,394,125.8,195,128
2025-07-02 17:45:18,Human,394,1679.2,195,128
2025-07-02 17:46:43,Human,576,84.9,286,256
2025-07-02 17:46:57,Human,576,99.4,286,256
2025-07-02 17:47:49,Human,296,51.8,146,64
2025-07-02 17:48:13,Human,296,76.0,146,64
2025-07-02 18:10:53,Human,436,68.1,216,128
2025-07-02 18:11:00,Human,436,74.5,216,128
2025-07-02 18:23:08,Human,408,249.6,202,128
2025-07-02 18:27:11,Human,408,492.3,202,128
2025-07-02 18:50:42,Human,452,63.4,224,128
2025-07-02 18:50:50,Human,452,70.9,224,128
2025-07-02 18:51:28,Human,282,38.5,139,64
2025-07-02 18:51:34,Human,282,44.6,139,64
2025-07-02 18:52:30,Human,398,55.7,197,128
2025-07-02 18:52:38,Human,398,63.4,197,128
2025-07-02 18:53:14,Human,262,36.4,129,64
2025-07-02 18:53:21,Human,262,43.0,129,64
2025-07-02 18:54:12,Human,366,50.7,181,128
2025-07-02 18:54:17,Human,366,56.1,181,128
2025-07-02 18:55:04,Human,340,46.9,168,128
2025-07-02 18:55:11,Human,340,54.0,168,128
2025-07-02 18:56:09,Human,326,57.9,161,128
2025-07-02 18:56:14,Human,326,63.4,161,128
2025-07-02 18:57:11,Human,352,56.7,174,128
2025-07-02 18:57:17,Human,352,62.1,174,128
2025-07-02 19:04:28,Human,298,431.4,147,128
2025-07-02 19:16:01,Human,22,34.0,9,4
2025-07-02 19:21:32,Human,12,107.3,4,4
2025-07-02 19:23:23,Human,64,104.7,30,32
